shoulder_angle,head_offset_x,head_offset_y,left_wrist_dist,right_wrist_dist,wrist_velocity_avg,zone_motion_score,label
11.4401,0.2866,0.0472,0.2363,0.135,1.7245,0.1779,1
2.1362,0.041,0.038,0.1208,0.1528,1.7645,0.0539,0
7.845,0.093,0.0539,0.05,0.1557,3.3608,0.0552,0
5.9359,0.0356,0.0606,0.2157,0.1299,6.1405,0.0935,0
5.6061,0.0551,0.0386,0.1666,0.05,4.5459,0.0097,0
0.8133,0.0854,0.0788,0.1954,0.3472,5.182,0.0185,0
11.4101,0.0456,0.097,0.1713,0.1335,0.4684,0.0487,0
6.2165,0.026,0.1428,0.2091,0.1644,8.4643,0.0,0
22.0,0.201,0.144,0.2788,0.1959,0.0,0.3161,1
29.4211,0.2815,0.0812,0.1072,0.223,1.3361,0.2,1
6.0204,0.0732,0.0871,0.4296,0.38,21.8438,0.2193,1
0.0,0.0467,0.0767,0.1675,0.2135,0.0569,0.0414,0
5.798,0.0941,0.1612,0.5512,0.4449,13.5429,0.4354,1
31.1328,0.1949,0.0463,0.1513,0.0855,9.1287,0.3032,1
4.7494,0.0995,0.0561,0.1413,0.1466,6.6371,0.0324,0
5.0146,0.3289,0.0812,0.1803,0.1577,9.6419,0.1497,1
8.6883,0.0944,0.1512,0.2205,0.3107,5.4864,0.0387,0
5.6535,0.1213,0.1034,0.4993,0.38,14.2254,0.3817,1
2.6199,0.0578,0.0,0.1832,0.1259,2.8415,0.0898,0
28.0,0.3135,0.094,0.6726,0.38,29.6574,0.3124,1
5.6418,0.0578,0.1272,0.1358,0.316,0.0,0.0549,0
7.2134,0.023,0.0687,0.096,0.05,1.6696,0.0,0
28.9017,0.3866,0.1634,0.4765,0.6111,15.5593,0.3812,1
8.2362,0.0887,0.0988,0.2173,0.0556,1.8709,0.0378,0
3.7274,0.134,0.0927,0.144,0.3021,2.4482,0.0738,0
5.9799,0.0516,0.0928,0.1772,0.0942,0.0,0.03,0
1.0705,0.0697,0.1392,0.0609,0.311,9.4589,0.0281,0
10.7134,0.1368,0.0649,0.0972,0.1851,9.4971,0.0401,0
3.6522,0.0419,0.0716,0.2388,0.2514,7.7931,0.0049,0
6.5417,0.1073,0.0802,0.2167,0.2009,5.2643,0.0726,0
8.8196,0.0418,0.0947,0.3122,0.0598,2.0622,0.0353,0
12.0,0.0741,0.0617,0.2014,0.1258,5.2296,0.0534,0
22.0,0.1935,0.1203,0.2436,0.1435,4.0756,0.2087,1
6.9018,0.0611,0.0003,0.1285,0.1748,1.5869,0.1293,0
28.1083,0.2045,0.0446,0.2464,0.2495,3.5819,0.2,1
28.0,0.4007,0.0728,0.5234,0.394,13.6968,0.2583,1
39.2067,0.2528,0.0611,0.653,0.7556,18.424,0.3266,1
14.5912,0.22,0.1129,0.1592,0.1395,2.7469,0.131,1
3.8005,0.0242,0.166,0.2945,0.1007,4.2134,0.0793,0
3.9166,0.0235,0.0874,0.15,0.1044,5.4955,0.0181,0
6.7987,0.0612,0.0816,0.5588,0.514,12.0,0.2147,1
36.3516,0.28,0.071,0.6156,0.4223,23.3271,0.2764,1
4.7848,0.1373,0.1141,0.6517,0.5308,16.316,0.2093,1
12.8297,0.0523,0.046,0.4717,0.5185,18.7216,0.2,1
22.0,0.1724,0.1933,0.3081,0.149,0.6579,0.2516,1
32.6151,0.1772,0.0948,0.1656,0.1381,7.8167,0.2921,1
1.2163,0.0168,0.1003,0.2726,0.166,5.206,0.0264,0
22.0,0.231,0.1397,0.2031,0.2436,8.326,0.2397,1
10.3876,0.2357,0.0916,0.1452,0.1712,5.1289,0.2155,1
5.9096,0.0075,0.1173,0.2246,0.2214,5.3633,0.0328,0
4.1005,0.0727,0.1006,0.4148,0.6746,12.9193,0.2342,1
10.3576,0.0,0.1273,0.1634,0.35,2.043,0.019,0
8.1643,0.0967,0.0844,0.38,0.4759,14.893,0.3216,1
28.0,0.3444,0.102,0.4905,0.7629,24.2862,0.401,1
7.083,0.0531,0.0638,0.1671,0.1795,5.1334,0.0338,0
5.266,0.0178,0.0885,0.2162,0.1808,0.0,0.0858,0
8.8037,0.1481,0.1043,0.575,0.4341,12.0,0.2,1
9.3263,0.0421,0.1372,0.0664,0.1216,4.9496,0.0702,0
29.6048,0.1,0.1403,0.2533,0.0637,9.1609,0.2955,1
10.429,0.0185,0.1336,0.2544,0.0901,2.3134,0.1194,0
28.0276,0.3887,0.0303,0.6651,0.633,19.7699,0.3046,1
3.2146,0.079,0.1621,0.4352,0.6783,21.9464,0.2,1
5.9684,0.1146,0.0599,0.2376,0.2036,0.9037,0.0942,0
22.0,0.2023,0.157,0.2328,0.2935,8.7565,0.2753,1
13.6357,0.2878,0.0652,0.1309,0.163,0.0,0.1176,1
2.4805,0.0688,0.018,0.2209,0.1508,4.1763,0.0,0
7.4955,0.1113,0.066,0.05,0.19,0.0,0.0897,0
23.3448,0.1556,0.1251,0.2655,0.3412,2.2389,0.2356,1
0.2057,0.1174,0.1542,0.183,0.2981,2.673,0.0021,0
10.4163,0.0,0.0997,0.1843,0.3153,0.0,0.0712,0
12.0688,0.22,0.093,0.2679,0.05,1.9645,0.242,1
1.8596,0.0593,0.0382,0.097,0.0849,4.8615,0.0376,0
3.8532,0.0862,0.1168,0.05,0.119,2.745,0.1012,0
22.0,0.1695,0.1165,0.1869,0.1224,6.4572,0.2,1
32.8319,0.3704,0.0762,0.7191,0.5337,19.7499,0.3941,1
2.9266,0.05,0.1129,0.2534,0.2688,3.2543,0.0452,0
28.0,0.3476,0.0376,0.498,0.5374,13.8818,0.3978,1
14.3025,0.4048,0.0687,0.1882,0.1909,3.646,0.1287,1
6.8862,0.0928,0.1774,0.1766,0.2067,8.5246,0.0016,0
12.1038,0.22,0.1544,0.1447,0.2333,6.6696,0.0,1
6.7385,0.0811,0.0237,0.1129,0.102,7.3142,0.0806,0
9.5692,0.0393,0.0855,0.2015,0.2571,3.294,0.0448,0
1.1769,0.0429,0.0457,0.2288,0.2433,1.0299,0.1288,0
6.927,0.322,0.064,0.2295,0.1893,5.6614,0.1268,1
28.0,0.3461,0.1381,0.6642,0.5502,15.258,0.364,1
1.2721,0.0693,0.0549,0.123,0.115,2.3291,0.0989,0
12.0,0.0645,0.0212,0.1006,0.05,6.5683,0.0919,0
31.4248,0.2339,0.1527,0.1827,0.0585,9.8369,0.2089,1
5.4383,0.0655,0.1097,0.1782,0.1898,6.9801,0.0617,0
14.0991,0.22,0.0365,0.151,0.1779,4.4246,0.1057,1
6.8929,0.3053,0.0532,0.1432,0.2555,3.1233,0.1656,1
9.1594,0.0604,0.0921,0.141,0.0661,3.5768,0.1185,0
2.5389,0.0977,0.1007,0.1227,0.209,2.5114,0.0379,0
6.3202,0.0475,0.1185,0.1786,0.1008,0.7355,0.0406,0
7.5259,0.0899,0.0807,0.6632,0.38,25.4536,0.2,1
10.1491,0.0488,0.1398,0.269,0.2129,4.1583,0.0557,0
22.0,0.1,0.1428,0.3161,0.1729,4.7202,0.2246,1
24.2623,0.1605,0.1581,0.1572,0.1455,4.4828,0.2168,1
4.7699,0.0366,0.1069,0.0558,0.1048,1.6675,0.0719,0
10.7002,0.0601,0.1229,0.1802,0.0858,0.0,0.0546,0
1.9065,0.01,0.1285,0.2157,0.0798,5.5791,0.1115,0
22.081,0.1091,0.0733,0.1755,0.2778,7.5633,0.2,1
3.7315,0.0142,0.0603,0.1822,0.1965,0.0,0.0,0
5.3263,0.0381,0.1381,0.6239,0.4172,15.2739,0.2111,1
14.695,0.1448,0.1022,0.7328,0.5437,12.0,0.2,1
2.4256,0.0293,0.0552,0.1944,0.1928,3.1311,0.0441,0
2.4721,0.0578,0.0749,0.4338,0.6855,12.6752,0.2,1
28.0,0.2387,0.1063,0.596,0.496,12.8034,0.4907,1
11.6062,0.22,0.168,0.2598,0.1599,3.0218,0.099,1
4.7806,0.0,0.0809,0.1968,0.1609,0.0,0.0431,0
9.4914,0.2594,0.0583,0.1042,0.2423,5.4085,0.1948,1
6.2415,0.0468,0.1532,0.7556,0.5307,12.0,0.2,1
8.717,0.22,0.0503,0.145,0.0503,5.9366,0.1302,1
10.0445,0.0517,0.0914,0.1811,0.1546,5.2284,0.1098,0
22.0,0.2467,0.1226,0.2033,0.1732,5.2738,0.2,1
30.1185,0.2532,0.0977,0.5849,0.5686,18.9028,0.3343,1
0.0,0.0,0.1227,0.1462,0.2892,8.5358,0.0095,0
1.8462,0.3109,0.1175,0.2617,0.2398,6.2171,0.1916,1
4.9334,0.09,0.0762,0.2627,0.05,0.4984,0.0,0
14.2125,0.2966,0.0074,0.1887,0.1536,3.9184,0.2194,1
4.2179,0.0028,0.0688,0.1074,0.1757,5.4859,0.0432,0
28.0,0.2545,0.1123,0.4295,0.6643,23.9032,0.3317,1
25.0907,0.2283,0.0909,0.2094,0.177,7.8085,0.2067,1
28.0,0.22,0.0791,0.518,0.81,14.9051,0.3588,1
24.1936,0.2838,0.1767,0.1568,0.2583,3.8261,0.2,1
22.0,0.1012,0.2,0.2054,0.2678,2.6909,0.2429,1
3.3377,0.089,0.1177,0.1897,0.2176,6.5476,0.0653,0
3.5584,0.0172,0.0987,0.1015,0.0818,4.1661,0.1303,0
22.0,0.1148,0.1237,0.1786,0.36,3.9914,0.2,1
9.188,0.0663,0.0761,0.1403,0.2527,4.1785,0.0122,0
8.5124,0.0706,0.1007,0.094,0.2568,0.0,0.0729,0
5.5527,0.0636,0.1182,0.6909,0.5745,17.5769,0.208,1
10.896,0.0526,0.053,0.8576,0.5989,20.7708,0.327,1
4.7687,0.0691,0.0959,0.2312,0.2878,6.5284,0.0,0
33.1057,0.3225,0.0675,0.38,0.6442,18.8746,0.3717,1
34.0152,0.2326,0.0859,0.4377,0.4346,12.0,0.2,1
28.6664,0.239,0.0656,0.1561,0.1771,0.0,0.2,1
5.427,0.0662,0.0996,0.1255,0.1663,7.2959,0.0157,0
28.0,0.22,0.0794,0.5411,0.4376,12.0,0.2807,1
2.5748,0.1113,0.0785,0.1075,0.1536,1.8683,0.0661,0
9.6797,0.3267,0.0927,0.2579,0.1944,3.4087,0.1674,1
26.6485,0.1735,0.1365,0.2402,0.3121,6.5067,0.2,1
5.1659,0.1604,0.1638,0.3476,0.2374,7.9635,0.0313,0
22.9096,0.1833,0.081,0.1864,0.2175,4.9145,0.2145,1
5.7489,0.0758,0.1409,0.2016,0.2219,4.8382,0.0604,0
28.0,0.22,0.1482,0.5652,0.38,12.1773,0.3213,1
22.0,0.2104,0.0613,0.1422,0.233,5.4782,0.356,1
31.1175,0.3433,0.1321,0.6553,0.4951,14.4728,0.2665,1
7.054,0.1249,0.0944,0.2049,0.2871,9.8048,0.0742,0
4.0737,0.0899,0.139,0.2403,0.2914,1.2468,0.0089,0
5.7493,0.0849,0.1913,0.2466,0.1328,6.7325,0.0747,0
5.5733,0.1189,0.0306,0.38,0.6536,22.5449,0.2,1
4.0312,0.0894,0.0807,0.2082,0.071,3.3171,0.0,0
29.2303,0.1621,0.0715,0.2623,0.2751,6.6,0.2474,1
0.5215,0.0734,0.1209,0.121,0.1525,2.9741,0.0034,0
3.3088,0.0333,0.0676,0.1688,0.2924,6.1658,0.0,0
11.7756,0.3861,0.1398,0.2511,0.1672,2.5748,0.2023,1
12.0,0.0191,0.1461,0.2073,0.1629,3.2138,0.0548,0
5.4201,0.0743,0.0896,0.1809,0.1011,3.5297,0.0398,0
10.8276,0.177,0.1094,0.38,0.4742,26.0905,0.2269,1
5.3419,0.0064,0.116,0.1903,0.1225,0.1114,0.089,0
7.0261,0.1163,0.0412,0.5106,0.7035,12.5134,0.2,1
6.7236,0.0939,0.1331,0.2972,0.2106,3.8309,0.0405,0
9.4342,0.0445,0.0648,0.0752,0.2773,0.6099,0.0166,0
7.2182,0.0076,0.0998,0.1263,0.1657,3.6938,0.0,0
5.3327,0.22,0.1238,0.1597,0.209,2.7809,0.1401,1
8.9745,0.0452,0.0529,0.2215,0.1888,0.0,0.013,0
38.829,0.4569,0.1791,0.3972,0.5803,20.9723,0.4423,1
12.3553,0.2873,0.1228,0.05,0.0933,4.7629,0.2157,1
5.4185,0.0059,0.1111,0.1566,0.2542,1.9355,0.0598,0
6.089,0.2511,0.0901,0.1825,0.196,0.7179,0.1613,1
6.9124,0.2354,0.0804,0.2606,0.1653,4.4384,0.1731,1
1.4717,0.0446,0.143,0.2925,0.1665,5.3142,0.0707,0
6.5637,0.2992,0.0531,0.05,0.1766,1.9815,0.0817,1
9.2986,0.2804,0.084,0.0699,0.2084,4.531,0.2276,1
31.0486,0.178,0.1235,0.2014,0.103,5.1799,0.2963,1
1.7776,0.0247,0.0883,0.0817,0.2752,4.4473,0.0437,0
10.2646,0.4354,0.0755,0.215,0.2391,3.5641,0.1518,1
5.0991,0.076,0.0603,0.2287,0.1603,2.5319,0.0454,0
4.2311,0.058,0.148,0.1947,0.2884,5.9731,0.0457,0
4.9528,0.0629,0.1181,0.2151,0.2152,3.2199,0.0696,0
6.1631,0.0,0.078,0.091,0.2055,2.1553,0.001,0
29.5832,0.1907,0.1172,0.1417,0.1413,5.6046,0.2,1
5.5713,0.2696,0.0939,0.1233,0.1777,3.0982,0.1106,1
6.8539,0.0838,0.0957,0.1988,0.1718,6.3568,0.074,0
27.9384,0.2213,0.1162,0.3039,0.1764,3.1124,0.2583,1
7.1371,0.0108,0.0531,0.222,0.1614,0.0,0.0629,0
28.0,0.2931,0.1738,0.5359,0.5062,18.0294,0.3086,1
6.5956,0.0208,0.0577,0.268,0.1641,2.4424,0.0072,0
1.3767,0.1755,0.0849,0.2542,0.2497,8.3978,0.0521,0
0.692,0.0073,0.0893,0.05,0.2469,0.0,0.0819,0
18.4414,0.298,0.122,0.306,0.1084,2.9808,0.0,1
6.5271,0.0693,0.0873,0.1372,0.208,0.3617,0.1091,0
3.1458,0.0169,0.022,0.1478,0.1985,3.9909,0.0448,0
5.6336,0.0756,0.1221,0.1801,0.1864,2.6366,0.0465,0
25.7074,0.207,0.1185,0.2969,0.21,3.1352,0.2,1
10.6763,0.1568,0.0521,0.5014,0.441,18.2583,0.2174,1
0.0,0.0704,0.1147,0.1426,0.153,3.1351,0.0588,0
11.5688,0.1157,0.0684,0.1941,0.0609,0.0,0.111,0
4.3958,0.1471,0.1373,0.1544,0.2359,3.152,0.0169,0
0.0,0.1069,0.109,0.1786,0.1953,3.0858,0.1363,0
22.0,0.1474,0.085,0.272,0.1398,7.3857,0.2,1
4.4571,0.0719,0.1118,0.38,0.7102,16.9308,0.305,1
6.65,0.0557,0.1237,0.1167,0.1595,0.7739,0.0346,0
9.1681,0.0941,0.0853,0.53,0.38,12.2498,0.3153,1
8.1137,0.0253,0.0951,0.1646,0.0763,5.1015,0.0501,0
8.2833,0.2578,0.1447,0.2224,0.2434,4.0541,0.2315,1
8.022,0.3337,0.1008,0.1173,0.2481,4.1607,0.219,1
9.575,0.1065,0.0149,0.189,0.1768,3.2235,0.0429,0
4.6881,0.0363,0.1635,0.129,0.2431,4.1121,0.0532,0
2.3611,0.0097,0.093,0.0877,0.2762,2.1442,0.0236,0
2.737,0.079,0.1612,0.1645,0.164,3.5516,0.0435,0
3.142,0.0117,0.107,0.1366,0.1769,3.7659,0.0403,0
12.3641,0.1086,0.074,0.6063,0.4521,17.8258,0.2974,1
6.3368,0.0939,0.1524,0.2617,0.1584,2.3352,0.074,0
6.1259,0.062,0.0683,0.1345,0.2585,5.9693,0.0678,0
7.8951,0.0371,0.0699,0.1126,0.1616,1.1438,0.0349,0
7.5642,0.0839,0.1494,0.2587,0.2273,2.76,0.0455,0
28.0,0.2232,0.0812,0.6012,0.3959,20.7246,0.4765,1
28.0,0.4149,0.1445,0.5695,0.4338,16.3942,0.4725,1
3.9834,0.2307,0.1032,0.1239,0.2631,2.6122,0.1851,1
37.5481,0.4302,0.0384,0.38,0.4536,13.9093,0.3671,1
7.6742,0.2483,0.1368,0.0915,0.1998,2.3458,0.0052,1
10.4203,0.4415,0.0861,0.1609,0.248,4.7081,0.1529,1
25.6442,0.291,0.0901,0.1799,0.104,9.614,0.2053,1
28.6782,0.2316,0.1074,0.1614,0.36,2.7255,0.2,1
10.0874,0.1109,0.0799,0.2574,0.0953,0.0,0.0287,0
10.2527,0.0612,0.0845,0.0856,0.2191,0.0,0.0644,0
3.445,0.0,0.1134,0.1263,0.0564,4.0889,0.0728,0
15.0916,0.22,0.1568,0.1652,0.1632,0.0,0.197,1
3.284,0.0277,0.1058,0.4517,0.5971,18.4579,0.2479,1
35.1149,0.4226,0.0553,0.6519,0.4549,23.1778,0.4561,1
28.0,0.22,0.0948,0.6376,0.6572,16.5067,0.3266,1
8.9185,0.0663,0.1555,0.05,0.2006,0.0,0.0918,0
14.8847,0.22,0.1294,0.2095,0.1627,6.9767,0.1136,1
9.1046,0.0501,0.1179,0.2534,0.1781,8.3707,0.0,0
7.647,0.0692,0.0942,0.3882,0.5953,23.1113,0.2488,1
0.7614,0.0702,0.0504,0.2177,0.2679,4.9634,0.0261,0
4.5114,0.0024,0.1354,0.2479,0.1592,4.0476,0.0231,0
7.1447,0.0258,0.0882,0.091,0.05,0.0,0.0725,0
28.0,0.294,0.1039,0.6255,0.5429,20.0108,0.2408,1
0.9995,0.1064,0.1083,0.2134,0.1769,5.9762,0.0,0
7.2757,0.0,0.0761,0.1205,0.271,2.4087,0.1309,0
9.0551,0.0,0.0816,0.1404,0.0924,1.3177,0.0768,0
22.0,0.1337,0.1014,0.2012,0.2777,2.8521,0.2,1
10.0404,0.0855,0.1145,0.1785,0.2176,2.0472,0.07,0
0.0,0.0,0.0968,0.1743,0.158,4.6117,0.113,0
5.5826,0.0,0.1644,0.1569,0.35,0.0,0.0328,0
3.0009,0.0816,0.1657,0.05,0.1796,0.0,0.0698,0
3.2062,0.3197,0.0405,0.1965,0.05,5.3778,0.1685,1
2.894,0.0556,0.0005,0.1918,0.0656,6.1521,0.0495,0
35.8483,0.3394,0.1898,0.6874,0.5709,18.2912,0.2553,1
8.4005,0.0596,0.1167,0.279,0.1896,6.223,0.0546,0
4.8242,0.0195,0.0649,0.2313,0.2418,4.0776,0.0092,0
28.0,0.22,0.12,0.5841,0.5222,21.8524,0.4846,1
37.4335,0.22,0.135,0.56,0.4683,28.0166,0.2268,1
5.4779,0.0586,0.0787,0.0736,0.1558,0.3103,0.0356,0
28.9569,0.1041,0.1092,0.2031,0.2553,11.0,0.2,1
10.9369,0.22,0.0981,0.1599,0.1169,3.4973,0.2213,1
6.8688,0.0916,0.1705,0.4857,0.5987,21.4079,0.2,1
6.6071,0.0399,0.0646,0.2754,0.1007,0.4406,0.1171,0
30.6607,0.3272,0.0806,0.4063,0.5118,25.0053,0.476,1
5.1887,0.0096,0.0838,0.3985,0.5553,15.8866,0.2,1
5.0184,0.0969,0.1078,0.1081,0.1544,3.972,0.0,0
7.5114,0.0458,0.0961,0.2586,0.0862,6.4004,0.0245,0
0.0,0.1108,0.1451,0.1858,0.2319,4.4037,0.0158,0
10.4763,0.0,0.1653,0.1391,0.2117,6.7094,0.1096,0
30.5849,0.2006,0.0791,0.1586,0.1817,2.8395,0.2339,1
38.4335,0.2973,0.1431,0.8843,0.6167,20.8018,0.3167,1
6.6501,0.0814,0.1141,0.1495,0.1935,0.0494,0.0296,0
10.6257,0.0408,0.0891,0.0694,0.1759,8.6023,0.036,0
32.1816,0.1949,0.0548,0.2828,0.2199,2.6694,0.2356,1
31.7348,0.1171,0.1363,0.3234,0.2243,3.0595,0.2267,1
1.4789,0.0567,0.1442,0.1756,0.1456,5.4063,0.0,0
5.2653,0.0881,0.1636,0.2211,0.149,4.6049,0.027,0
12.0,0.0807,0.113,0.0821,0.0885,0.6604,0.0936,0
11.4713,0.043,0.1163,0.3393,0.198,4.1681,0.0949,0
12.263,0.3879,0.114,0.1875,0.2486,4.1737,0.176,1
28.8936,0.1474,0.0861,0.2366,0.1945,2.491,0.2,1
13.9777,0.3373,0.1654,0.0906,0.171,8.2494,0.157,1
10.0455,0.0561,0.0569,0.1231,0.1676,5.3648,0.0272,0
28.0,0.2916,0.1475,0.5203,0.38,13.3656,0.2801,1
23.9748,0.143,0.1228,0.2322,0.2818,5.0925,0.2,1
31.1894,0.1629,0.0556,0.0841,0.2629,1.5269,0.2,1
4.6558,0.0,0.1123,0.2742,0.1125,4.1142,0.072,0
9.4504,0.0503,0.0967,0.1811,0.1415,2.3684,0.0497,0
9.9403,0.2334,0.1275,0.1581,0.2203,7.2144,0.1743,1
10.0867,0.3131,0.1594,0.1395,0.1506,1.2633,0.1894,1
22.0,0.1273,0.1612,0.1205,0.2119,2.8905,0.223,1
22.0,0.172,0.1303,0.0784,0.2052,3.9373,0.2208,1
7.9835,0.1184,0.1375,0.2291,0.2052,4.5379,0.0015,0
9.9007,0.3224,0.1857,0.2206,0.2168,2.186,0.1384,1
4.7505,0.0884,0.0778,0.543,0.8292,12.0,0.2853,1
12.7704,0.0,0.0957,0.4442,0.7067,24.0504,0.3076,1
9.0225,0.0772,0.109,0.2634,0.05,0.0,0.0559,0
4.7755,0.0323,0.0706,0.1232,0.1935,4.6173,0.0566,0
11.9309,0.2634,0.0462,0.1381,0.1769,3.1749,0.2026,1
12.0,0.0206,0.0903,0.1682,0.3027,0.0,0.0678,0
12.0,0.0246,0.154,0.165,0.1872,9.4649,0.0,0
28.0,0.3098,0.0576,0.5824,0.7706,13.0848,0.2509,1
7.8723,0.0569,0.1025,0.5689,0.515,19.6018,0.2606,1
7.0275,0.0694,0.067,0.266,0.2265,3.3386,0.0208,0
15.8444,0.0197,0.0691,0.4822,0.4393,15.7196,0.3134,1
10.2547,0.0048,0.0846,0.05,0.229,0.0,0.02,0
13.8652,0.1195,0.097,0.6202,0.5415,18.1719,0.2786,1
3.2257,0.0537,0.1492,0.1701,0.1684,2.0118,0.0678,0
1.3603,0.0426,0.1097,0.1954,0.1529,5.8444,0.0281,0
5.3145,0.0187,0.0399,0.5813,0.5349,15.0626,0.3386,1
3.486,0.085,0.1049,0.1814,0.2578,2.2796,0.0794,0
7.269,0.0542,0.1206,0.1353,0.3011,0.7164,0.0031,0
41.5651,0.22,0.1046,0.6619,0.4803,25.1787,0.3884,1
8.6314,0.0916,0.1504,0.1719,0.0512,3.1047,0.0541,0
22.4045,0.11,0.0548,0.3366,0.3116,0.1699,0.2,1
1.0638,0.1393,0.0839,0.2728,0.1731,4.412,0.0137,0
2.6493,0.0714,0.1083,0.0784,0.0592,3.4531,0.0673,0
18.0,0.0803,0.1449,0.4945,0.411,17.3079,0.2702,1
5.9014,0.0629,0.118,0.228,0.2174,2.0615,0.1113,0
4.2111,0.3064,0.1647,0.1767,0.1558,5.4757,0.2158,1
46.794,0.2354,0.1025,0.4528,0.4138,12.0,0.386,1
6.1346,0.0416,0.1449,0.2239,0.247,1.8783,0.0314,0
35.6444,0.3216,0.1314,0.61,0.7065,19.1232,0.4056,1
4.8269,0.078,0.0754,0.1062,0.1355,3.2185,0.0057,0
28.0,0.3357,0.1172,0.7619,0.3821,14.5798,0.5064,1
0.0,0.0833,0.1019,0.1471,0.1889,1.1143,0.0,0
29.3817,0.256,0.061,0.5542,0.6505,20.253,0.3415,1
8.826,0.0758,0.111,0.6526,0.4545,18.6327,0.2,1
11.7518,0.2688,0.1306,0.2537,0.1675,2.8434,0.0423,1
7.5259,0.0424,0.0552,0.1953,0.1579,0.0,0.0341,0
2.2759,0.0903,0.0074,0.2471,0.3049,4.8378,0.0655,0
0.0,0.1069,0.1521,0.2437,0.2281,0.0,0.026,0
25.2896,0.2295,0.1642,0.1551,0.1083,8.5168,0.3005,1
0.0,0.0061,0.1011,0.1418,0.1087,1.1463,0.0231,0
22.0,0.1936,0.1087,0.1337,0.2518,4.1564,0.2,1
6.574,0.2204,0.0633,0.1551,0.1994,3.7292,0.0762,1
4.0571,0.0314,0.1209,0.2874,0.0763,2.5634,0.0387,0
9.2042,0.0606,0.1383,0.2321,0.1785,0.7964,0.0688,0
22.0,0.1989,0.0904,0.1397,0.2317,4.8663,0.328,1
22.0,0.1554,0.1116,0.113,0.1849,0.9014,0.2764,1
6.2649,0.0818,0.0492,0.1383,0.2204,0.2856,0.0869,0
22.0,0.3216,0.125,0.1498,0.1767,4.0009,0.2691,1
12.0,0.0306,0.1003,0.1763,0.2264,2.417,0.0172,0
23.4293,0.1293,0.0981,0.1824,0.1547,0.7796,0.2,1
2.0627,0.0865,0.0778,0.1096,0.1852,6.2845,0.0427,0
22.0,0.2251,0.1215,0.2371,0.1357,4.3376,0.3429,1
8.943,0.1165,0.122,0.1203,0.1559,1.6393,0.0771,0
6.0118,0.22,0.1597,0.1884,0.2117,6.7199,0.1287,1
5.5135,0.0098,0.1284,0.2313,0.1012,3.4216,0.0392,0
8.7827,0.0685,0.078,0.2091,0.1505,5.361,0.0582,0
4.2923,0.0858,0.1,0.1506,0.182,0.0,0.0913,0
2.4784,0.1305,0.1712,0.5565,0.4637,14.9388,0.2,1
24.8606,0.2064,0.1072,0.1953,0.2072,10.0278,0.2,1
7.6119,0.0832,0.0437,0.2605,0.1549,0.0,0.1429,0
